10µF,,1µF,,100nF,
X,Y,X,Y,X,Y
10.987955820867152,0.14125601527199905,10.60889695601308,0.14428382761908942,10.799874606000655,0.07101076881949986
14.643393504787355,0.1358059530472362,14.220549345573998,0.16184513923221466,26.49744915415164,0.12430026612829259
19.49128884076018,0.14004489033316325,19.319937754431564,0.0856653805794183,35.78156546570433,0.07282745622775444
25.96182743954142,0.13883376539432657,25.082832204303664,0.09025419840323057,44.350239497656176,0.10564894207021513
34.635410659187954,0.12490582859771049,37.88588219144882,0.17825588215344546,78.88956648245852,0.08233478699761854
46.042647270702446,0.13943932786374447,51.40487690502639,0.09159989277971547,101.27531910533469,0.08433314314669804
61.37390266541569,0.13217257823072703,62.48628610716751,0.09265962710119702,145.93639614283313,0.07888308092193519
81.79157454814683,0.12672251600596507,106.51329258275268,0.09765551747389623,174.76203225854638,0.09543512175269608
108.66395584893856,0.146100515027344,141.883334601687,0.09583883006564164,285.93526149308195,0.11573588263223655
144.7591296880387,0.14367826514967152,194.3886823276925,0.1034840562420456,399.73325351136,0.14428382761908942
192.6836158684241,0.1479172024355977,267.2889571266105,0.134292046873691,484.85705881594237,0.1626020923189868
256.7655419969927,0.14307270268025363,409.9400721891277,0.15094501478268896,994.4814339548088,0.2708463837274726
340.81537617658705,0.16971745133465,623.910977702986,0.2082312243896407,1571.721211515672,0.32413588103626445
451.96740564237473,0.2036289496220629,839.681529102486,0.24919752544577545,2042.6895163911806,0.3467839173925018
598.4633326416454,0.2496516972978391,1017.3628468825951,0.2763973730304716,2471.9586501699628,0.36277076658513874
793.4032618200508,0.2859854454629245,1383.9074619171108,0.31525429815146566,5411.377173654529,0.42405368849025127
1051.602937817488,0.32413588103626445,1930.7430762974022,0.3601062917197,7317.233498204843,0.47882344961317624
1394.7792482111438,0.35683625438484157,2738.7870274012043,0.3762142534062214,9563.539657647332,0.5619402627767522
1847.2876791959143,0.4010423146523632,3634.4782608907344,0.40467568946887233,12266.804461925254,0.6749584049858157
2455.1376845776153,0.41739250132665173,4820.905709365055,0.43677050034803067,15215.977817151232,0.8266854459344621
3257.817790593177,0.4464594998587206,6380.604360063922,0.4864266228403151,18925.13388171067,1.0610297110094127
4322.598052751857,0.4761320608602073,8419.37753989549,0.5603052441093235,23127.72088851285,1.227836939564539
5715.452949962952,0.5336604954549271,10915.248118975887,0.6711837322597765,28380.48327443593,1.361615781766821
7553.119007698983,0.5954278673355731,14050.880485751093,0.8388639800416477,34984.68837291486,1.5053864047145007
9915.371198342882,0.7104847365250109,15889.217565510811,1.0012455562161109,40457.11854390381,1.650822324453081
11328.549218716787,0.8380533079960708,17819.877326707923,1.1256987363893538,46428.95693906684,1.7995888377734603
14228.642397624451,0.9466540995980695,20719.963746312376,1.2738308509322471,53371.10099569244,1.9350329767666414
18583.914063187574,0.8940374494775192,24135.049254328595,1.4076889929817145,64822.356341301,2.1511178512706657
23342.604880379375,0.7371294851794072,27663.642907702717,1.5662696553897968,85489.51538709652,2.2292354098256006
29300.84755436805,0.5854024442307617,32239.525752290483,1.7258399798907562,115013.04256395606,2.1480900389235753
38731.69145480151,0.43677050034803067,36321.32769053829,1.8884046666214478,155719.4468625252,2.01607742059043
52352.68588482229,0.3180802563420837,44415.969024018166,2.0499889188778435,209433.22895222533,1.9373542995660773
70512.53588993924,0.2278514483987868,56220.42620521216,2.039867374746141,277211.7552946819,1.9864048595889434
94691.62391621654,0.16123957676279588,66049.94718274758,1.862129983920585,344442.6249409375,2.124559611540472
126969.4650859678,0.10673895451516735,76172.2253059413,1.6938424915513246,380597.2129932852,2.3083540002177365
169863.76942387118,0.07040520635008196,85197.95044209712,1.5421815338086673,412125.88635858,2.4865237640196147
226974.05687835935,0.043760457695685595,96321.11161020493,1.3791013980712683,435177.2229708983,2.665067369958226
302368.58835832344,0.04133820781801312,110137.33105867426,1.2184002577494408,451253.87450295285,2.860049834218433
402715.64222715504,0.04073264534859522,131756.28829570534,1.0608631813303226,464686.8405266746,3.1092522473277446
534217.28497331,0.07222189375833565,154959.7441919879,0.909210153572384,477582.1335935714,3.3743540394952234
707587.0361146689,0.11582239155643936,189521.34179555977,0.757113046670205,481839.1003580626,3.6064358558997096
936156.9592256743,0.1685063263958133,241394.80697152353,0.5928037633014274,480163.59421638853,3.807936767598582
1235845.2421061539,0.2387515728483125,319096.109557635,0.4440372499810481,537253.3225751526,4.013545411381673
1626785.3378597503,0.3320081931386998,426863.26931116503,0.3041523195454676,544473.7802742235,4.191510128435828
2133949.544237783,0.4531206870223201,569472.233640361,0.18606763800893855,648715.468100098,3.7509466107544562
2721942.016619039,0.5898432356731611,770084.4680698372,0.12334866796206434,674600.6415135267,3.5537014575212167
3333819.7140812827,0.7387947819703076,1016463.9451225457,0.1352003905778183,637793.7474870993,3.967805259524959
3924974.7083897335,0.891446987802786,1307317.46814062,0.20571477590561393,721818.562636575,3.379611859666203
